CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,stream
100.0,2199.865,2.68,92201.0,11720.0,9542.5,0.1,68112.0,66204.0,16.25,0
100.0,2199.865,1.41,1271.0,1040.0,107.4,0.0,5476.0,3188.0,2.5,0
100.0,2200.0,1.52,2126.0,640.0,188.6,0.1,181336.0,179240.0,6.25,1
100.0,2200.0,1.58,2355.0,960.0,222.3,0.0,18508.0,13176.0,2.5,0
100.0,2199.865,1.64,2447.0,800.0,231.1,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.41,1140.0,1320.0,706.5,0.0,5332.0,3016.0,2.5,0
93.8,2200.0,1.53,1393.0,80.0,153.6,0.1,181340.0,179244.0,5.0,1
100.0,2200.0,1.53,2079.0,80.0,163.5,0.1,181340.0,179244.0,5.0,1
100.0,2199.865,2.73,96723.0,17720.0,8008.5,0.1,68112.0,66204.0,18.75,0
100.0,2200.0,2.69,94468.0,17120.0,7761.6,0.1,68112.0,66208.0,20.0,0
93.8,2200.0,1.6,2712.0,1200.0,559.3,0.0,18508.0,13176.0,2.5,0
100.0,2200.0,1.41,1141.0,840.0,262.5,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.28,4429.0,160.0,436.2,0.1,181196.0,179244.0,2.5,1
100.0,2200.0,1.67,67741.0,2480.0,8413.1,0.7,876192.0,860436.0,2.5,1
100.0,2200.0,1.52,4711.0,640.0,425.3,0.0,18508.0,13180.0,2.5,0
100.0,2200.0,1.41,1922.0,680.0,377.3,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.41,2320.0,640.0,475.0,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.41,1420.0,760.0,238.1,0.0,5476.0,3184.0,2.5,0
100.0,2200.0,1.89,3976.0,720.0,115.7,0.0,16348.0,4716.0,2.5,0
100.0,2199.865,2.11,28379.0,16160.0,2655.2,0.7,876192.0,860432.0,21.25,1
100.0,2200.0,2.27,32066.0,5080.0,2748.8,0.7,876192.0,860432.0,21.25,1
100.0,2199.865,2.34,35626.0,11680.0,2967.1,0.7,876192.0,860432.0,21.25,1
