CPU_Utilization,Frequency,IPC,Misses,LLC,MBL,Memory_Footprint,Virt_Memory,Res_Memory,Allocated_Cache,sensitive
100.0,2199.865,0.85,18772.0,4080.0,1467.5,0.1,104504.0,102192.0,11.25,1
100.0,2199.865,1.95,4873.0,360.0,7.4,0.0,16348.0,4456.0,2.5,0
100.0,2200.0,0.86,18389.0,6400.0,1477.7,0.1,104088.0,101656.0,12.5,1
100.0,2200.0,2.4,979.0,360.0,6.6,0.0,16348.0,4460.0,2.5,0
100.0,2199.865,0.84,18854.0,7120.0,1345.2,0.1,104568.0,102172.0,13.75,1
100.0,2199.865,2.55,241.0,400.0,608.6,0.0,16348.0,4460.0,2.5,0
100.0,2199.865,1.0,10912.0,3960.0,1054.3,0.5,623116.0,617108.0,15.0,1
100.0,2200.0,2.02,918.0,720.0,16.7,0.0,10876.0,5776.0,2.5,0
100.0,2199.865,0.92,16250.0,8600.0,1007.1,0.1,104084.0,101656.0,18.75,1
100.0,2199.865,2.49,252.0,240.0,5.0,0.0,16348.0,4460.0,2.5,0
100.0,2199.865,1.01,10355.0,7720.0,991.8,0.5,623116.0,616844.0,20.0,1
100.0,2199.865,2.38,1015.0,280.0,5.4,0.0,16348.0,4460.0,2.5,0
100.0,2200.0,2.26,6191.0,4320.0,1145.2,0.6,749336.0,742588.0,21.25,1
100.0,2200.0,2.09,247.0,120.0,23.7,0.0,9376.0,4620.0,2.5,0
100.0,2199.865,2.06,1327.0,1040.0,738.9,0.0,49452.0,46532.0,2.5,0
100.0,2200.0,2.75,99625.0,1920.0,8096.8,0.1,68112.0,66204.0,2.5,1
100.0,2199.865,2.12,877.0,440.0,57.3,0.0,49452.0,46532.0,2.5,0
100.0,2200.0,2.05,941.0,520.0,81.0,0.0,49452.0,46532.0,2.5,0
100.0,2200.0,2.06,1104.0,400.0,78.3,0.0,49452.0,46532.0,2.5,0
100.0,2200.0,1.62,1371.0,680.0,59.6,0.0,159356.0,47112.0,2.5,0
100.0,2199.865,1.62,1486.0,1080.0,53.0,0.0,159356.0,47112.0,2.5,0
100.0,2199.865,2.12,6064.0,200.0,514.4,0.1,204340.0,187980.0,3.75,1
100.0,2200.0,2.76,96741.0,3160.0,9209.8,0.1,68112.0,66208.0,3.75,1
100.0,2199.865,2.21,5216.0,40.0,391.2,0.1,204340.0,187716.0,5.0,1
93.8,2199.865,1.62,1392.0,1360.0,380.7,0.0,159356.0,47112.0,2.5,0
100.0,2200.0,2.71,104187.0,5640.0,8845.2,0.1,68112.0,66204.0,6.25,1
100.0,2200.0,1.86,1625.0,760.0,123.9,0.0,49452.0,46724.0,2.5,0
100.0,2199.865,1.62,1511.0,1000.0,363.3,0.0,159356.0,47112.0,2.5,0
100.0,2200.0,2.12,918.0,560.0,94.6,0.0,49452.0,46728.0,2.5,0
100.0,2200.0,1.63,1137.0,200.0,21.5,0.0,159356.0,47112.0,2.5,0
100.0,2199.865,2.17,5339.0,1000.0,362.5,0.1,204068.0,187188.0,8.75,1
100.0,2199.865,2.72,97776.0,6720.0,9022.0,0.1,68112.0,66204.0,10.0,1
100.0,2200.0,1.93,736.0,1400.0,59.6,0.0,49452.0,46528.0,2.5,0
100.0,2200.0,2.73,98613.0,8880.0,9675.1,0.1,68112.0,66208.0,11.25,1
100.0,2200.0,1.95,1128.0,640.0,722.7,0.0,49452.0,46728.0,2.5,0
100.0,2199.865,2.74,98526.0,11960.0,9382.3,0.1,68112.0,66204.0,13.75,1
100.0,2199.865,1.63,1092.0,1280.0,116.6,0.0,159356.0,47180.0,2.5,0
100.0,2200.0,2.26,4058.0,320.0,304.6,0.1,203340.0,185600.0,15.0,1
100.0,2200.0,2.77,101502.0,9920.0,9844.9,0.1,68112.0,66204.0,16.25,1
100.0,2200.0,2.31,3870.0,200.0,319.8,0.1,203052.0,185340.0,17.5,1
100.0,2199.865,2.35,3451.0,320.0,300.5,0.1,203652.0,186396.0,17.5,1
100.0,2200.0,2.78,97861.0,13800.0,8939.3,0.1,68112.0,66208.0,17.5,1
100.0,2199.865,2.8,97672.0,13280.0,8988.0,0.1,68112.0,66208.0,17.5,1
100.0,2199.865,2.15,1264.0,1040.0,46.1,0.0,49452.0,46528.0,2.5,0
100.0,2200.0,2.16,4572.0,880.0,371.9,0.1,203920.0,186660.0,18.75,1
100.0,2200.0,2.76,94497.0,15360.0,10442.3,0.1,68112.0,66204.0,18.75,1
